date,normal_rate,discount_type,discount_ammout,post_discount,adjustment,billing,status,gender,city,state,program,room,schedule
8/1/2022,1000,Sibling ,-97.5,902.5,0,902.5,Active,male,Richardson, Texas,Lower Elementary,Newton,FD
8/1/2022,1000,Sibling ,-1000,0,0,0,Active,female,Richardson, Texas,Lower Elementary,Newton,FD
8/1/2022,1000,Sibling ,-97.5,902.5,0,902.5,Active,female,Richardson, Texas,Primary,Cassatt,FD
8/1/2022,1000,Sibling ,-185.49,814.51,0,814.51,Active,female,Richardson, Texas,Primary,Cassatt,FD
8/1/2022,1000,Sibling ,-97.5,902.5,0,902.5,Active,female,Rowlett, Texas,Primary,Cassatt,FD
8/1/2022,1000,Sibling ,-50,950,-950,0,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1000,Sibling ,-142.62,857.38,0,857.38,Inactive,female,,,Primary,,FD
8/1/2022,1000,Sibling ,-97.5,902.5,0,902.5,Inactive,female,,,Primary,,FD
8/1/2022,1000,Sibling ,-50,950,0,950,Inactive,male,,,Primary,,FD
8/1/2022,950,Sibling ,-47.5,902.5,0,902.5,Inactive,male,,,Primary,,5SD
8/1/2022,950,Sibling ,-47.5,902.5,-902.5,0,Inactive,female,,,Primary,,5SD
8/1/2022,900,Sibling ,-87.75,812.25,0,812.25,Inactive,female,,,Primary,,FD
8/1/2022,950,Sibling ,-135.47,814.53,0,814.53,Active,male,Garland, Texas,Lower Elementary,Newton,FD
8/1/2022,970,Sibling ,-138.37,831.63,0,831.63,Inactive,female,,,Primary,,FD
8/1/2022,1050,Sibling ,-100,950,0,950,Inactive,male,,,Lower Elementary,Newton,5SD
8/1/2022,1050,Sibling ,-100,950,0,950,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1050,Sibling ,-100,950,0,950,Inactive,female,,,Lower Elementary,,FD
8/1/2022,1050,Sibling ,-52.5,997.5,0,997.5,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1050,Sibling ,-52.5,997.5,-997.5,0,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1000,Sibling ,-185.49,814.51,0,814.51,Inactive,female,,,Lower Elementary,,5SD
8/1/2022,1000,Sibling ,-50,950,0,950,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1000,Teacher,-50,950,0,950,Inactive,male,,,Primary,,FD
8/1/2022,1000,Teacher,-50,950,0,950,Inactive,male,,,Primary,,FD
8/1/2022,1000,Teacher,-50,950,0,950,Inactive,male,,,Primary,,FD
8/1/2022,950,Teacher,-100,850,0,850,Inactive,female,,,Primary,,5SD
8/1/2022,950,Teacher,-100,850,0,850,Inactive,male,,,Primary,,5SD
8/1/2022,900,Teacher,-100,800,-800,0,Inactive,female,,,Primary,,5HD
8/1/2022,997.5,Teacher,-95,902.5,0,902.5,Active,male,Garland, Texas,Upper Elementary,Einstein,FD
8/1/2022,950,Teacher,47.5,902.5,0,902.5,Inactive,male,Plano, Texas,Primary,Chevalier,FD
8/1/2022,1050,Teacher,-50,1000,0,1000,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1050,Teacher,-50,1000,0,1000,Inactive,female,,,Lower Elementary,,FD
8/1/2022,1050,Teacher,-50,1000,0,1000,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1050,Teacher,-50,1000,0,1000,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1050,Teacher,-50,1000,-1000,0,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1000,Teacher,-50,950,0,950,Inactive,male,,,Lower Elementary,,5SD
8/1/2022,1000,Teacher,-50,950,0,950,Inactive,female,,,Lower Elementary,,5SD
8/1/2022,1000,Teacher,-50,950,0,950,Inactive,female,,,Lower Elementary,,5SD
8/1/2022,1155,Teacher,-110,1045,0,1045,Active,female,Richardson, Texas,Toddler,Beethoven,FD
8/1/2022,1100,Teacher,-102.5,997.5,-997.5,0,Active,female,Richardson, Texas,Toddler,Monet,FD
8/1/2022,1050,Teacher,-52.5,997.5,0,997.5,Active,female,Richardson, Texas,Toddler,Monet,FD
8/1/2022,1100,Teacher,-110,990,0,990,Active,female,Rowlett, Texas,Toddler,Monet,FD
8/1/2022,1100,,0,1100,0,1100,Active,male,Dallas, Texas,Primary,Chevalier,FD
8/1/2022,1000,,0,1000,0,1000,Active,male,Garland, Texas,Lower Elementary,Newton,FD
8/1/2022,1000,,0,1000,0,1000,Active,female,Garland, Texas,Lower Elementary,Newton,FD
8/1/2022,1100,,0,1100,0,1100,Active,male,Garland, Texas,Primary,Chevalier,5SD
8/1/2022,1050,,0,1050,0,1050,Active,female,Garland, Texas,Primary,Chevalier,FD
8/1/2022,190,,0,190,0,190,Active,male,Garland, Texas,Primary,Chevalier,5HD
8/1/2022,95,,0,95,0,95,Active,male,Garland, Texas,Primary,Chevalier,FD
8/1/2022,1000,,0,1000,0,1000,Active,female,Plano, Texas,Lower Elementary,Newton,5SD
8/1/2022,1100,,0,1100,0,1100,Active,female,Plano, Texas,Primary,Chevalier,FD
8/1/2022,1100,,0,1100,0,1100,Active,female,Richardson, Texas,Primary,Chevalier,FD
8/1/2022,1000,,0,1000,0,1000,Active,male,Sachse, Texas,Lower Elementary,Newton,FD
8/1/2022,1155,,0,1155,0,1155,Active,female,Sachse, Texas,Toddler,Monet,FD
8/1/2022,1000,,0,1000,0,1000,Inactive,male,,,Primary,,FD
8/1/2022,950,,0,950,0,950,Inactive,male,,,Primary,,5SD
8/1/2022,950,,0,950,0,950,Inactive,male,,,Primary,,5SD
8/1/2022,1050,,0,1050,-1050,0,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1050,,0,1050,0,1050,Inactive,female,,,Lower Elementary,,FD
8/1/2022,1050,,0,1050,-1050,0,Inactive,female,,,Lower Elementary,,FD
8/1/2022,1050,,0,1050,0,1050,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1050,,0,1050,0,1050,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1000,,0,1000,0,1000,Inactive,male,,,Lower Elementary,,5SD
8/1/2022,950,,0,950,0,950,Inactive,female,,,Primary,,5SD
